ID	Name	CPUPerc	MemUsage	NetIO	BlockIO
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.84%	63.71MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.01%	63.78MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.33%	63.86MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.04%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.57%	63.99MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.04%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.86%	63.14MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.65%	63.27MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.39%	63.36MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.55%	63.49MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.54%	63.65MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.00%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.08%	63.75MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.85%	63.91MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.04%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.01%	63.19MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.82%	63.39MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.80%	63.48MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.05%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.07%	63.62MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.00%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.85%	63.76MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.02%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.12%	63.98MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.71%	63.96MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.31%	64.04MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	4.54%	63.15MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.00%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.04%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.89%	63.34MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.04%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	92.66MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.68%	63.46MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.01%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.03%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.83%	63.55MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
7233c0ad0845	terminals-api	0.00%	10.63MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
b127668600e9	my-db	0.04%	100.1MiB / 15.32GiB	19kB / 2.05kB	39.4MB / 8.19kB
b3da28708862	portal-webapp	0.00%	93.05MiB / 15.32GiB	17.2kB / 0B	0B / 4.1kB
e2430b0e0bf8	company-api	3.56%	63.66MiB / 15.32GiB	23.1kB / 5.73kB	0B / 4.1kB
